IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
151127139,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,12/31/2015,22:40,SOUTHERN,"ARREST, CITED",900 Block of HOWARD ST,-122.40529891114,37.7811328608446,"(37.7811328608446, -122.40529891114)",15112713965016
160011729,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,22:40,TARAVAL,NONE,900 Block of TARAVAL ST,-122.476211458458,37.7429719095254,"(37.7429719095254, -122.476211458458)",16001172971000
151127167,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,12/31/2015,22:35,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.419650193312,37.7458386584841,"(37.7458386584841, -122.419650193312)",15112716728100
166000150,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:35,NORTHERN,NONE,400 Block of GOLDEN GATE AV,-122.417982021136,37.7812853695649,"(37.7812853695649, -122.417982021136)",16600015006244
151127173,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Thursday,12/31/2015,22:35,RICHMOND,JUVENILE BOOKED,5500 Block of CALIFORNIA ST,-122.476987310573,37.7843011798662,"(37.7843011798662, -122.476987310573)",15112717309120
151127167,ASSAULT,BATTERY,Thursday,12/31/2015,22:35,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.419650193312,37.7458386584841,"(37.7458386584841, -122.419650193312)",15112716704134
151127173,OTHER OFFENSES,RESISTING ARREST,Thursday,12/31/2015,22:35,RICHMOND,JUVENILE BOOKED,5500 Block of CALIFORNIA ST,-122.476987310573,37.7843011798662,"(37.7843011798662, -122.476987310573)",15112717327170
166008217,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,22:35,SOUTHERN,NONE,500 Block of 4TH ST,-122.39784956123,37.7793117074346,"(37.7793117074346, -122.39784956123)",16600821771000
151127117,WARRANTS,WARRANT ARREST,Thursday,12/31/2015,22:30,CENTRAL,"ARREST, BOOKED",GEARY ST / LARKIN ST,-122.418090766692,37.7861007451645,"(37.7861007451645, -122.418090766692)",15112711763010
151124771,ASSAULT,BATTERY,Thursday,12/31/2015,22:30,SOUTHERN,"ARREST, BOOKED",200 Block of BEALE ST,-122.39353370026,37.7892558270831,"(37.7892558270831, -122.39353370026)",15112477104134
166002918,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:30,CENTRAL,NONE,LOMBARD ST / LEAVENWORTH ST,-122.417970141118,37.8022023203709,"(37.8022023203709, -122.417970141118)",16600291806244
160001457,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,22:25,NORTHERN,NONE,0 Block of MARINA BL,-122.432957440518,37.8051625655624,"(37.8051625655624, -122.432957440518)",16000145771000
160001457,NON-CRIMINAL,FOUND PROPERTY,Thursday,12/31/2015,22:25,NORTHERN,NONE,0 Block of MARINA BL,-122.432957440518,37.8051625655624,"(37.8051625655624, -122.432957440518)",16000145772000
151127145,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,12/31/2015,22:09,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",15112714503074
151127082,NON-CRIMINAL,FOUND PROPERTY,Thursday,12/31/2015,22:04,TENDERLOIN,NONE,0 Block of LEAVENWORTH ST,-122.413706517535,37.7814229318029,"(37.7814229318029, -122.413706517535)",15112708272000
160004984,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,22:00,SOUTHERN,NONE,500 Block of HOWARD ST,-122.397032436528,37.7878246694374,"(37.7878246694374, -122.397032436528)",16000498471000
151127026,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,12/31/2015,22:00,SOUTHERN,NONE,TEHAMA ST / 5TH ST,-122.404407887961,37.7810759636856,"(37.7810759636856, -122.404407887961)",15112702665016
160002778,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/31/2015,22:00,INGLESIDE,NONE,2400 Block of SAN JOSE AV,-122.448303520335,37.7186724826951,"(37.7186724826951, -122.448303520335)",16000277807021
160001413,NON-CRIMINAL,FOUND PROPERTY,Thursday,12/31/2015,22:00,RICHMOND,NONE,37TH AV / GEARY BL,-122.497590653438,37.7795009386769,"(37.7795009386769, -122.497590653438)",16000141372000
151127242,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:00,NORTHERN,NONE,LAGUNA ST / POST ST,-122.428151140162,37.7857828233879,"(37.7857828233879, -122.428151140162)",15112724206243
166008273,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:00,SOUTHERN,NONE,300 Block of BERRY ST,-122.396661415271,37.7730956120037,"(37.7730956120037, -122.396661415271)",16600827306244
160001504,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,22:00,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668,"(37.7650501214668, -122.419671780296)",16000150471000
160001720,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:00,SOUTHERN,NONE,2ND ST / HARRISON ST,-122.395163154488,37.7843096998676,"(37.7843096998676, -122.395163154488)",16000172006244
160001980,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:00,BAYVIEW,NONE,1200 Block of CONNECTICUT ST,-122.39627030124,37.7504525015629,"(37.7504525015629, -122.39627030124)",16000198006243
151124947,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,22:00,SOUTHERN,NONE,HOWARD ST / 4TH ST,-122.402712593282,37.7832596543979,"(37.7832596543979, -122.402712593282)",15112494706244
166001487,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/31/2015,22:00,CENTRAL,NONE,LARKIN ST / PINE ST,-122.418844748098,37.7898297669592,"(37.7898297669592, -122.418844748098)",16600148728150
160002245,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,12/31/2015,21:50,NORTHERN,NONE,1700 Block of UNION ST,-122.428096303159,37.797973756334,"(37.797973756334, -122.428096303159)",16000224506303
151127101,WEAPON LAWS,"WEAPON, ASSAULT, POSSESSION, MANUFACTURE, OR SALE",Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710112171
151127101,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710104081
151127101,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710116030
151127101,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710116705
151127101,WEAPON LAWS,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS",Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710112024
151127101,OTHER OFFENSES,CONSPIRACY,Thursday,12/31/2015,21:48,BAYVIEW,"ARREST, BOOKED",600 Block of UNIVERSITY ST,-122.412150200427,37.722063779678,"(37.722063779678, -122.412150200427)",15112710126080
151127076,ASSAULT,BATTERY,Thursday,12/31/2015,21:40,SOUTHERN,"ARREST, BOOKED",0 Block of MISSION ST,-122.392791521307,37.7934607105517,"(37.7934607105517, -122.392791521307)",15112707604134
151127098,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,12/31/2015,21:34,MISSION,NONE,2800 Block of CESAR CHAVEZ ST,-122.407289862947,37.7484691107969,"(37.7484691107969, -122.407289862947)",15112709864020
151127151,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,12/31/2015,21:32,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869,"(37.8084350175869, -122.410774214375)",15112715164085
160001178,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,12/31/2015,21:30,SOUTHERN,NONE,500 Block of HOWARD ST,-122.397032436528,37.7878246694374,"(37.7878246694374, -122.397032436528)",16000117806113
166008659,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,21:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16600865906244
160000277,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,12/31/2015,21:30,CENTRAL,NONE,600 Block of POST ST,-122.412032359787,37.7878854896155,"(37.7878854896155, -122.412032359787)",16000027764085
160000722,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,21:30,CENTRAL,NONE,300 Block of BUSH ST,-122.403208277822,37.7908083300178,"(37.7908083300178, -122.403208277822)",16000072206244
166001421,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,21:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16600142171000
166001437,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,21:30,SOUTHERN,NONE,6TH ST / BRYANT ST,-122.402527594665,37.7760382838346,"(37.7760382838346, -122.402527594665)",16600143771000
160001811,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Thursday,12/31/2015,21:30,NORTHERN,NONE,3000 Block of BUCHANAN ST,-122.432368631208,37.7979732474957,"(37.7979732474957, -122.432368631208)",16000181105042
160000277,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,12/31/2015,21:30,CENTRAL,NONE,600 Block of POST ST,-122.412032359787,37.7878854896155,"(37.7878854896155, -122.412032359787)",16000027764070
151127004,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Thursday,12/31/2015,21:18,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923,"(37.7800478529923, -122.431979576386)",15112700404081
166003198,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,21:15,CENTRAL,NONE,UNION ST / COLUMBUS AV,-122.410208370518,37.8003148241057,"(37.8003148241057, -122.410208370518)",16600319871000
166001380,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,21:15,CENTRAL,NONE,1700 Block of THE EMBARCADERONORTH ST,-122.410837397518,37.8082497027606,"(37.8082497027606, -122.410837397518)",16600138006244
151127048,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Thursday,12/31/2015,21:15,BAYVIEW,NONE,400 Block of GIRARD ST,-122.404408310675,37.7267452055312,"(37.7267452055312, -122.404408310675)",15112704804138
166002902,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/31/2015,21:02,CENTRAL,NONE,PINE ST / GRANT AV,-122.405744762009,37.7914980828425,"(37.7914980828425, -122.405744762009)",16600290228150
166001374,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/31/2015,21:00,SOUTHERN,NONE,0 Block of 3RD ST,-122.402835528142,37.7868009028384,"(37.7868009028384, -122.402835528142)",16600137406372
160001140,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,12/31/2015,21:00,NORTHERN,NONE,LARKIN ST / PINE ST,-122.418844748098,37.7898297669592,"(37.7898297669592, -122.418844748098)",16000114028160
166016709,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,12/31/2015,21:00,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.513642064265,37.7784692199467,"(37.7784692199467, -122.513642064265)",16601670906244
160001930,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/31/2015,21:00,PARK,UNFOUNDED,1300 Block of WALLER ST,-122.445502927,37.7691775322685,"(37.7691775322685, -122.445502927)",16000193007021
160007289,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/31/2015,21:00,MISSION,UNFOUNDED,700 Block of NOE ST,-122.432432729013,37.7575506091072,"(37.7575506091072, -122.432432729013)",16000728907021
151126959,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,12/31/2015,20:30,MISSION,NONE,1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,"(37.7564864109309, -122.406539115148)",15112695968020
151126971,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,12/31/2015,20:27,SOUTHERN,"ARREST, BOOKED",200 Block of 8TH ST,-122.411271940537,37.7760329501244,"(37.7760329501244, -122.411271940537)",15112697104013
151126971,WEAPON LAWS,POSS OF TEAR GAS WEAPON,Thursday,12/31/2015,20:27,SOUTHERN,"ARREST, BOOKED",200 Block of 8TH ST,-122.411271940537,37.7760329501244,"(37.7760329501244, -122.411271940537)",15112697112130
151126971,OTHER OFFENSES,PROBATION VIOLATION,Thursday,12/31/2015,20:27,SOUTHERN,"ARREST, BOOKED",200 Block of 8TH ST,-122.411271940537,37.7760329501244,"(37.7760329501244, -122.411271940537)",15112697126170
151126943,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,12/31/2015,20:19,BAYVIEW,"ARREST, BOOKED",NEWCOMB AV / LANE ST,-122.387911252085,37.7341714275463,"(37.7341714275463, -122.387911252085)",15112694362050
151126965,ASSAULT,BATTERY,Thursday,12/31/2015,20:15,CENTRAL,NONE,400 Block of JEFFERSON ST,-122.419941636264,37.8077487904473,"(37.8077487904473, -122.419941636264)",15112696504134
151126921,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,12/31/2015,20:15,SOUTHERN,"ARREST, BOOKED",6TH ST / BRANNAN ST,-122.400983769855,37.7748078532865,"(37.7748078532865, -122.400983769855)",15112692165015
166003336,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,20:11,CENTRAL,NONE,400 Block of MASON ST,-122.409925328419,37.7877640990096,"(37.7877640990096, -122.409925328419)",16600333671000
151126937,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,12/31/2015,20:10,SOUTHERN,"ARREST, BOOKED",500 Block of NATOMA ST,-122.409325210496,37.7788157426427,"(37.7788157426427, -122.409325210496)",15112693765015
151127060,MISSING PERSON,FOUND PERSON,Thursday,12/31/2015,20:00,SOUTHERN,NONE,0 Block of MOSS ST,-122.407999186749,37.7778241673064,"(37.7778241673064, -122.407999186749)",15112706075000
